claim_id,policy_start,incident_date,claim_amount,state,vehicle_type,incident_type,fact_of_loss,reported_by,policy_limit,insured_age,prior_claims_count,fraud_flag,severity_score,days_to_incident
XAJI0Y6DP,2021-05-09,2021-12-17,551.74,WV,Truck,Weather Damage,Hailstorm caused significant roof and hood damage to V1,claimant,55174,47,1,0,0.01,222
BHSAHXTHV,2020-05-09,2020-05-29,62223.2,CO,Sedan,Weather Damage,V2 rear-ended V1 while stopped at a red light,claimant,95728,67,0,0,0.65,20
3A3ZMF8MD,2018-08-08,2019-08-08,15000.0,IN,Van,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,15000,50,3,0,1.0,365
D4V30T9NT,2019-12-30,2020-08-03,15805.4,KY,Sedan,Theft,V2 was behind V1 when it began backing up,insured,24316,75,1,0,0.65,217
3W5UZBIKC,2020-12-16,2021-07-19,88000.0,WA,Coupe,Side-impact,V2 ran a stop sign and hit the side of V1,insured,100000,34,5,0,0.88,215
IDKWNNHJ7,2019-03-29,2020-03-17,70512.0,UT,Coupe,Theft,V2 ran a stop sign and hit the side of V1,insured,94016,68,1,0,0.75,354
XVG0FN9XU,2019-05-24,2019-05-29,3750.0,TX,Truck,Side-impact,V2 turned left and struck the side of V1,claimant,15000,18,4,1,0.25,5
Y41IBLJH7,2020-01-17,2020-02-20,2184.84,MT,SUV,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,18207,32,3,0,0.12,34
5LXO6QJIU,2021-04-30,2021-05-05,12300.0,DC,Van,Theft,V2 rear-ended V1 while stopped at a red light,claimant,15000,74,3,1,0.82,5
JV6OH9SDB,2020-08-29,2020-09-03,4451.72,AS,SUV,Side-impact,V2 rear-ended V1 while stopped at a red light,claimant,15899,62,0,0,0.28,5
DW2PCN9T8,2020-03-01,2020-09-17,235.82,NV,Van,Backing Collision,V2 was behind V1 when it began backing up,insured,23582,18,2,0,0.01,200
4AZYTJXEP,2018-08-30,2018-10-16,15000.0,OR,Coupe,Weather Damage,V2 crossed centerline and hit V1 head-on,insured,15000,45,0,0,1.0,47
Q85JSG65K,2020-09-08,2021-01-25,63851.04,TX,SUV,Head-on Collision,V2 turned left and struck the side of V1,claimant,96744,57,0,0,0.66,139
XVF1T2TAL,2020-11-15,2021-02-17,78892.33,AL,Truck,Backing Collision,V2 turned left and struck the side of V1,claimant,95051,28,4,1,0.83,94
A753LC58D,2021-05-15,2022-03-17,32359.95,WV,Truck,Weather Damage,V2 entered wrong lane and collided with V1,insured,92457,80,5,0,0.35,306
RC11ERTJ5,2020-02-09,2020-06-10,5394.62,CO,Coupe,Head-on Collision,V1 was missing after being parked overnight,claimant,17402,56,4,0,0.31,122
PHT0HL9XP,2021-03-21,2021-06-18,94000.0,CO,Coupe,Backing Collision,V1 was reported stolen from insured’s driveway,claimant,100000,33,0,0,0.94,89
SEIMVIHCW,2019-12-08,2020-03-16,87355.62,MA,SUV,Side-impact,V1 was missing after being parked overnight,claimant,88238,57,0,0,0.99,99
